id,title,post_link,thumbnail_file,comment_screenshot_files,category,tags,date,visible,sort_order
fb-post-1,Post 1 by Purushottam /bhaiya,https://www.facebook.com/photo/?fbid=27929750516614316&set=a.3044830832199629,fb-post-1.jpg,fb-post-1-comments.jpg,Bhajan,satsang|devotion,2026-04-25,yes,1
fb-post-2,Post 2 by Purushottam /bhaiya,https://www.facebook.com/photo/?fbid=27929748996614468&set=a.3044830832199629,fb-post-2.jpg,fb-post-2-comments.jpg,Pravachan,insights|bhakti,2026-04-25,yes,2
